City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
656,Pitimbu,BR,75.79,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
660,Loiza,PR,82.4,overcast clouds,18.4313,-65.8802,Malibu Beachfront
663,Remontnoye,RU,79.21,clear sky,46.5614,43.6501,Remontnoye
664,Alta Floresta,BR,76.82,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
666,Kinshasa,CD,88.18,overcast clouds,-4.3246,15.3215,Flat Hotel Alhdeef
668,Trincomalee,LK,87.17,overcast clouds,8.5711,81.2335,Welcombe Hotel
669,Nizhnyaya Tavda,RU,83.75,clear sky,57.6731,66.1725,Dom
671,Boa Vista,BR,76.98,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
672,Ivdel,RU,82.62,overcast clouds,60.6911,60.4206,Ivdel'
674,Qiryat Gat,IL,83.79,clear sky,31.61,34.7642,OlusHome
675,Sidhi,IN,88.93,moderate rain,24.4167,81.8833,Kamdhenu Sweets
676,Kuybysheve,UA,77.27,broken clouds,47.358,36.6491,PitStop СЕРВИС
678,Srikakulam,IN,86.16,overcast clouds,18.3,83.9,Sriram residency
680,Balaghat,IN,85.06,broken clouds,21.8,80.1833,Hotel celebration
686,Sangmelima,CM,87.8,broken clouds,2.9333,11.9833,gamestar hotel
687,Kanashevo,RU,86.56,scattered clouds,55.2169,62.0634,Klim
689,Buchanan,LR,76.96,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
691,Oxford,GB,81.48,few clouds,51.7522,-1.256,Malmaison Oxford
693,Teramo,IT,78.01,few clouds,42.65,13.6833,Hotel Gran Sasso
695,San Antonio,US,78.04,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
700,Marrakesh,MA,80.67,clear sky,31.6315,-8.0083,Novotel Marrakech Hivernage
706,Carutapera,BR,82.99,broken clouds,-1.195,-46.02,Lidera
709,Remanso,BR,78.8,scattered clouds,-9.6179,-42.0831,Hotel Mangueira
711,San Andres,CO,75.22,light intensity drizzle,12.5847,-81.7006,Hotel Arena Blanca
716,Mangrol,IN,87.33,few clouds,21.1167,70.1167,Hotel The Royal Honours
