City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
277,Shiggaon,IN,15.0,75.2333,77.5,90,100,15.77,overcast clouds
278,Gandai,IN,21.6667,81.1,93.79,42,92,11.54,overcast clouds
279,Rawson,AR,-43.3002,-65.1023,40.86,71,16,18.14,few clouds
280,Muros,ES,42.7762,-9.0603,86.09,46,17,6.96,few clouds
281,Qarayeri,AZ,40.7886,46.3066,88.68,37,20,13.8,few clouds
282,Mehamn,NO,71.0357,27.8492,45.86,66,56,21.45,broken clouds
283,Ginda,IN,30.6945,78.4932,76.48,51,42,1.59,scattered clouds
284,Kumluca,TR,36.3703,30.2869,77.47,61,8,14.09,clear sky
285,Seydi,TM,39.4816,62.9137,94.5,5,15,19.37,few clouds
286,Pervomaysk,UA,48.0443,30.8507,66.94,74,98,1.3,overcast clouds
287,Rio Branco Do Sul,BR,-25.19,-49.3142,49.24,98,13,1.36,few clouds
288,Pisco,PE,-13.7,-76.2167,56.01,82,6,2.3,clear sky
289,Bonito,BR,-21.1211,-56.4819,62.64,66,0,1.7,clear sky
290,Yekaterinovka,RU,52.0508,44.3451,71.37,70,100,7.14,overcast clouds
291,Aksu,CN,41.1231,80.2644,81.66,13,27,16.64,scattered clouds
292,San Joaquin,US,37.9333,-121.3011,65.68,86,1,3.53,clear sky
293,Savannah Bight,HN,16.45,-85.85,81.0,80,100,20.56,overcast clouds
294,Matara,LK,5.9485,80.5353,81.95,79,93,13.89,overcast clouds
295,Shahrud,IR,36.4182,54.9763,83.93,36,0,18.54,clear sky
296,Shetpe,KZ,44.1667,52.1167,94.14,22,56,14.88,broken clouds
297,Rosario Do Sul,BR,-30.2583,-54.9142,56.16,77,0,2.8,clear sky
298,Sistranda,NO,63.7256,8.834,53.91,90,100,13.02,overcast clouds
299,Umarkot,PK,25.3616,69.7362,104.43,31,0,17.56,clear sky
300,Nezhinka,RU,51.7676,55.3694,93.36,15,0,15.66,clear sky
301,Vikulovo,RU,56.8167,70.6107,79.3,48,50,9.31,scattered clouds
